number,contractName,name,address,position,banking,bonus,status,lastUpdate,connected,overflow,shape,totalStands,mainStands,overflowStands,snapshot_time
385,toulouse,00385 - VITARELLES - FRONDE,"21, chemin de la Fronde","{'latitude': 43.587323, 'longitude': 1.39462}",False,False,OPEN,2025-06-24T08:33:50Z,True,False,,"{'availabilities': {'bikes': 1, 'stands': 11, 'mechanicalBikes': 1, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 13}","{'availabilities': {'bikes': 1, 'stands': 11, 'mechanicalBikes': 1, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 13}",,2025-06-24T10:40:30.138289
195,toulouse,00195 - RIEUX - CHANT DU MERLE,FACE 15 RUE PIERRE LAROUSSE,"{'latitude': 43.597355, 'longitude': 1.459063}",False,False,OPEN,2025-06-24T08:36:15Z,True,False,,"{'availabilities': {'bikes': 1, 'stands': 16, 'mechanicalBikes': 0, 'electricalBikes': 1, 'electricalInternalBatteryBikes': 1, 'electricalRemovableBatteryBikes': 0}, 'capacity': 18}","{'availabilities': {'bikes': 1, 'stands': 16, 'mechanicalBikes': 0, 'electricalBikes': 1, 'electricalInternalBatteryBikes': 1, 'electricalRemovableBatteryBikes': 0}, 'capacity': 18}",,2025-06-24T10:40:30.138289
29,toulouse,00029 - VALADE,31 RUE VALADE,"{'latitude': 43.605031, 'longitude': 1.437386}",False,False,OPEN,2025-06-24T08:38:51Z,True,False,,"{'availabilities': {'bikes': 4, 'stands': 14, 'mechanicalBikes': 4, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 21}","{'availabilities': {'bikes': 4, 'stands': 14, 'mechanicalBikes': 4, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 21}",,2025-06-24T10:40:30.138289
400,toulouse,00400 - SAINT-MARTIN-DU-TOUCH GARE,"4, rue Marie Louise Dissard (sur la contre allée face au parking de la halte)","{'latitude': 43.600614, 'longitude': 1.372218}",False,False,OPEN,2025-06-24T08:38:33Z,True,False,,"{'availabilities': {'bikes': 7, 'stands': 5, 'mechanicalBikes': 5, 'electricalBikes': 2, 'electricalInternalBatteryBikes': 2, 'electricalRemovableBatteryBikes': 0}, 'capacity': 13}","{'availabilities': {'bikes': 7, 'stands': 5, 'mechanicalBikes': 5, 'electricalBikes': 2, 'electricalInternalBatteryBikes': 2, 'electricalRemovableBatteryBikes': 0}, 'capacity': 13}",,2025-06-24T10:40:30.138289
280,toulouse,00280 - CHARBONNIÈRE - PALMIERS,RUE DE LA CHARBONNIERE ENTRE IMP AMPERE ET RUE DES PALMIERS,"{'latitude': 43.573732, 'longitude': 1.448768}",False,False,OPEN,2025-06-24T08:37:48Z,True,False,,"{'availabilities': {'bikes': 1, 'stands': 16, 'mechanicalBikes': 1, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 18}","{'availabilities': {'bikes': 1, 'stands': 16, 'mechanicalBikes': 1, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 18}",,2025-06-24T10:40:30.138289
156,toulouse,00156 - EMPALOT - MÉTRO,38 AV JEAN MOULIN FACE DEBOUCHE RUE DE CANNES,"{'latitude': 43.579666, 'longitude': 1.44184}",True,False,OPEN,2025-06-24T08:37:58Z,True,False,,"{'availabilities': {'bikes': 9, 'stands': 9, 'mechanicalBikes': 8, 'electricalBikes': 1, 'electricalInternalBatteryBikes': 1, 'electricalRemovableBatteryBikes': 0}, 'capacity': 18}","{'availabilities': {'bikes': 9, 'stands': 9, 'mechanicalBikes': 8, 'electricalBikes': 1, 'electricalInternalBatteryBikes': 1, 'electricalRemovableBatteryBikes': 0}, 'capacity': 18}",,2025-06-24T10:40:30.138289
242,toulouse,00242 - RIMBAUD - COLETTE / PADER - FRONTON,8 RUE HILAIRE PADER,"{'latitude': 43.63639, 'longitude': 1.433072}",False,False,OPEN,2025-06-24T08:32:48Z,True,False,,"{'availabilities': {'bikes': 7, 'stands': 8, 'mechanicalBikes': 7, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 16}","{'availabilities': {'bikes': 7, 'stands': 8, 'mechanicalBikes': 7, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 16}",,2025-06-24T10:40:30.138289
373,toulouse,00373 - REYNERIE - LIZOP,,"{'latitude': 43.566932, 'longitude': 1.400526}",False,False,OPEN,2025-06-24T08:31:49Z,True,False,,"{'availabilities': {'bikes': 4, 'stands': 6, 'mechanicalBikes': 2, 'electricalBikes': 2, 'electricalInternalBatteryBikes': 2, 'electricalRemovableBatteryBikes': 0}, 'capacity': 13}","{'availabilities': {'bikes': 4, 'stands': 6, 'mechanicalBikes': 2, 'electricalBikes': 2, 'electricalInternalBatteryBikes': 2, 'electricalRemovableBatteryBikes': 0}, 'capacity': 13}",,2025-06-24T10:40:30.138289
224,toulouse,00224 - BELIN - SUPAERO,10 AV EDOUARD BELIN FACE CHATEAU D'EAU CREPS RD-PT JEAN LAGASSE,"{'latitude': 43.56644, 'longitude': 1.475301}",False,False,OPEN,2025-06-24T08:39:44Z,True,False,,"{'availabilities': {'bikes': 15, 'stands': 4, 'mechanicalBikes': 7, 'electricalBikes': 8, 'electricalInternalBatteryBikes': 8, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 15, 'stands': 4, 'mechanicalBikes': 7, 'electricalBikes': 8, 'electricalInternalBatteryBikes': 8, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",,2025-06-24T10:40:30.138289
339,toulouse,00339 -  GLOIRE - SAVIGNAC,"57, rue Labat de Savignac, 40m après angle rue de la Gloire","{'latitude': 43.605899, 'longitude': 1.463601}",False,False,OPEN,2025-06-24T08:37:34Z,True,False,,"{'availabilities': {'bikes': 0, 'stands': 11, 'mechanicalBikes': 0, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 13}","{'availabilities': {'bikes': 0, 'stands': 11, 'mechanicalBikes': 0, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 13}",,2025-06-24T10:40:30.138289
229,toulouse,00229 - AV. DE RANGUEIL - PELUDE,129 AV DE RANGUEIL,"{'latitude': 43.57141, 'longitude': 1.462732}",False,False,OPEN,2025-06-24T08:36:48Z,True,False,,"{'availabilities': {'bikes': 10, 'stands': 6, 'mechanicalBikes': 8, 'electricalBikes': 2, 'electricalInternalBatteryBikes': 2, 'electricalRemovableBatteryBikes': 0}, 'capacity': 18}","{'availabilities': {'bikes': 10, 'stands': 6, 'mechanicalBikes': 8, 'electricalBikes': 2, 'electricalInternalBatteryBikes': 2, 'electricalRemovableBatteryBikes': 0}, 'capacity': 18}",,2025-06-24T10:40:30.138289
154,toulouse,00154 - HOTEL DE REGION,50 M AVANT 4 RUE DES GALLOIS,"{'latitude': 43.589928, 'longitude': 1.441706}",False,False,OPEN,2025-06-24T08:34:45Z,True,False,,"{'availabilities': {'bikes': 6, 'stands': 11, 'mechanicalBikes': 6, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 19}","{'availabilities': {'bikes': 6, 'stands': 11, 'mechanicalBikes': 6, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 19}",,2025-06-24T10:40:30.138289
96,toulouse,00096 - MÉDIATHÈQUE JOSÉ CABANIS,50 RUE DU GENERAL COMPANS,"{'latitude': 43.609757, 'longitude': 1.455212}",True,False,OPEN,2025-06-24T08:38:38Z,True,False,,"{'availabilities': {'bikes': 5, 'stands': 18, 'mechanicalBikes': 0, 'electricalBikes': 5, 'electricalInternalBatteryBikes': 5, 'electricalRemovableBatteryBikes': 0}, 'capacity': 25}","{'availabilities': {'bikes': 5, 'stands': 18, 'mechanicalBikes': 0, 'electricalBikes': 5, 'electricalInternalBatteryBikes': 5, 'electricalRemovableBatteryBikes': 0}, 'capacity': 25}",,2025-06-24T10:40:30.138289
65,toulouse,00065 - VERDIER - GRAND ROND,2 ALL FORAIN FRANCOIS VERDIER,"{'latitude': 43.596904, 'longitude': 1.452596}",False,False,OPEN,2025-06-24T08:39:12Z,True,False,,"{'availabilities': {'bikes': 1, 'stands': 24, 'mechanicalBikes': 1, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 27}","{'availabilities': {'bikes': 1, 'stands': 24, 'mechanicalBikes': 1, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 27}",,2025-06-24T10:40:30.138289